===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/aansprakelijkheid    (Status: 403) [Size: 448]
/aanvraag             (Status: 403) [Size: 439]
/aanvraagformulier    (Status: 403) [Size: 448]
/aanvraagformulieren  (Status: 403) [Size: 450]
/aanvraagrapport      (Status: 403) [Size: 446]
/aanvragen            (Status: 403) [Size: 440]
/Aanvragen            (Status: 403) [Size: 440]
/aanvullingen         (Status: 403) [Size: 443]
/aanvvv               (Status: 403) [Size: 437]
/aaoc                 (Status: 403) [Size: 435]
/aao                  (Status: 403) [Size: 434]
/aaohtml              (Status: 403) [Size: 438]
/aaonline             (Status: 403) [Size: 439]
/aaoesportsmini       (Status: 403) [Size: 445]
/aaOrlandoDestinations (Status: 403) [Size: 452]
/aaow                 (Status: 403) [Size: 435]
/aap                  (Status: 403) [Size: 434]
/AAP                  (Status: 403) [Size: 434]
/aapd                 (Status: 403) [Size: 435]
/Aap                  (Status: 403) [Size: 434]
/aapf                 (Status: 403) [Size: 435]
/AAPI                 (Status: 403) [Size: 435]
/aapl                 (Status: 403) [Size: 435]
/aapineda             (Status: 403) [Size: 439]
/AAPL                 (Status: 403) [Size: 435]
/aaplLHEAD            (Status: 403) [Size: 440]
/aaplogo              (Status: 403) [Size: 438]
/aaprethereal         (Status: 403) [Size: 443]
/aaprfpwin            (Status: 403) [Size: 440]
/aappleby             (Status: 403) [Size: 439]
/aaPrivacyPolicy      (Status: 403) [Size: 446]
/aaprplastic          (Status: 403) [Size: 442]
/aaprpatentitoyurself (Status: 403) [Size: 451]
/aaprnmap             (Status: 403) [Size: 439]
/aapstory             (Status: 403) [Size: 439]
/aapz                 (Status: 403) [Size: 435]
/aaqa                 (Status: 403) [Size: 435]
/AAPT                 (Status: 403) [Size: 435]
/aaqs                 (Status: 403) [Size: 435]
/aaq                  (Status: 403) [Size: 434]
/aarco                (Status: 403) [Size: 436]
/aarchive             (Status: 403) [Size: 439]
/aar                  (Status: 403) [Size: 434]
/aardvark             (Status: 403) [Size: 439]
/aarg                 (Status: 403) [Size: 435]
/aaRes                (Status: 403) [Size: 436]
/aargau               (Status: 403) [Size: 437]
/Aargon               (Status: 403) [Size: 437]
/Aare                 (Status: 403) [Size: 435]
/aarghspelling        (Status: 403) [Size: 444]
/aargh                (Status: 403) [Size: 436]
/aarhus               (Status: 403) [Size: 437]
/aarnetlogo           (Status: 403) [Size: 441]
/aarnews              (Status: 403) [Size: 438]
/aarhuskunstbygn      (Status: 403) [Size: 446]
/Aaron                (Status: 403) [Size: 436]
/aaron                (Status: 403) [Size: 436]
/AaronDailey          (Status: 403) [Size: 442]
/aarone               (Status: 403) [Size: 437]
/AaronBaer            (Status: 403) [Size: 440]
/aaronandpatty        (Status: 403) [Size: 444]
/aaronf               (Status: 403) [Size: 437]
/aarong               (Status: 403) [Size: 437]
/AaronHawley          (Status: 403) [Size: 442]
/aaronemigh           (Status: 403) [Size: 441]
/aaronl               (Status: 403) [Size: 437]
/aaronrecordings      (Status: 403) [Size: 446]
/aaronmar             (Status: 403) [Size: 439]
/Aaronsburg           (Status: 403) [Size: 441]
/AARONSCA             (Status: 403) [Size: 439]
/aaronsw              (Status: 403) [Size: 438]
/aarp                 (Status: 403) [Size: 435]
/aaronthul            (Status: 403) [Size: 440]
/AaronThomas          (Status: 403) [Size: 442]
/aaronross            (Status: 403) [Size: 440]
/AARP                 (Status: 403) [Size: 435]
/Aaronu               (Status: 403) [Size: 437]
/aarontracks          (Status: 403) [Size: 442]
/aarpLogo             (Status: 403) [Size: 439]
/aarpmember           (Status: 403) [Size: 441]
/aas                  (Status: 403) [Size: 434]
/aarpc                (Status: 403) [Size: 436]
/aarticles            (Status: 403) [Size: 440]
/aarti                (Status: 403) [Size: 436]
/Aas                  (Status: 403) [Size: 434]
/AAS                  (Status: 403) [Size: 434]
/Aasa                 (Status: 403) [Size: 435]
/aasb                 (Status: 403) [Size: 435]
/aasa                 (Status: 403) [Size: 435]
/aascripter           (Status: 403) [Size: 441]
/aasbusiness          (Status: 403) [Size: 442]
/aasc                 (Status: 403) [Size: 435]
/aasd                 (Status: 403) [Size: 435]
/aasetup              (Status: 403) [Size: 438]
/aascus               (Status: 403) [Size: 437]
/aashley              (Status: 403) [Size: 438]
/aasf                 (Status: 403) [Size: 435]
/aasm                 (Status: 403) [Size: 435]
/aasp                 (Status: 403) [Size: 435]
/aaso                 (Status: 403) [Size: 435]
/AASSAD               (Status: 403) [Size: 437]
/aasniff              (Status: 403) [Size: 438]
/AASync               (Status: 403) [Size: 437]
/AASTeX               (Status: 403) [Size: 437]
/aasz                 (Status: 403) [Size: 435]
/aatc                 (Status: 403) [Size: 435]
/aat                  (Status: 403) [Size: 434]
/aatest               (Status: 403) [Size: 437]
/aatlas               (Status: 403) [Size: 437]
/aatools              (Status: 403) [Size: 438]
/AATimeCalc           (Status: 403) [Size: 441]
/AATools              (Status: 403) [Size: 438]
